gene1,gene2,value,rank
AT5G04140,AT3G19450,0.4561412828564552,6
AT1G72300,AT4G20430,0.3255371432781097,6
AT5G59080,AT5G45640,0.2345317716445313,6
AT2G39200,AT1G61360,0.8332419979072381,6
AT5G13930,AT3G19450,0.3019444761344728,6
AT2G25470,AT1G05300,0.6576341214972852,6
AT3G52450,AT2G02220,0.8289218692786989,6
AT5G50200,AT1G65690,0.7422456125295909,6
AT2G22122,AT2G31400,0.22863706419305024,6
AT4G20000,AT5G44585,0.7644880288488222,6
AT2G41220,AT4G27730,0.42343919952725184,6
AT4G34980,AT2G39850,0.5233313285439924,6
AT5G37600,AT5G40780,0.6755213924549134,6
AT5G13930,AT5G67360,0.3531914202817976,6
AT2G04160,AT2G41220,0.3057211470555922,6
AT2G04160,AT1G32950,0.3918708554479815,7
AT2G19170,AT2G05920,0.3734798061713989,7
AT1G51800,AT2G17740,0.7922376387845058,7
AT2G01950,AT1G01900,0.14999713582158047,7
AT1G51800,AT2G39200,0.8276531096675939,7
AT4G34980,AT5G51750,0.5163954176085669,7
AT5G53460,AT2G41220,0.2986503065554936,7
AT1G70530,AT2G44490,0.7446938915261991,7
AT4G01250,AT1G61360,0.7919884276080782,7
AT2G44370,AT2G17740,0.8293782004014952,7
AT1G51890,AT2G42360,0.7595149208651002,7
AT1G64280,AT4G38560,0.6991308383881004,7
AT5G59130,AT2G15620,0.331547479647347,7
AT2G31400,AT5G67360,0.3165460669724081,7
AT3G14067,AT2G39850,0.241463253024924,7
AT3G14240,AT5G59130,0.4204512375765732,7
AT5G04140,AT3G14240,0.4212846353372856,7
AT5G01540,AT2G02220,0.8286936690982997,7
AT1G30730,AT1G30720,0.7169640543505251,7
AT2G42360,AT3G22060,0.7420360125249944,7
AT5G01540,AT1G51620,0.8070637036101267,7
AT4G20430,AT1G32970,0.17724761731184152,7
AT2G36690,AT1G61360,0.8068627476717771,7
AT4G21326,AT5G58840,0.1975481802934009,7
AT1G15950,AT1G20160,0.3694540201334063,7
AT1G15950,AT1G51680,0.5773759860962571,7
