"AT1G33050",36
"AT1G51700",12
"AT4G17390",8
"AT5G35430",10
"AT1G74460",26
"AT5G53450",42
"AT3G06380",23
"AT5G13140",134
"AT1G06990",11
"AT4G27510",69
"AT3G07350",23
"AT3G54470",207
"AT4G35250",4
"AT5G08050",4
"AT2G35130",14
"AT2G25490",3
"AT2G05580",21
"AT5G22880",17
"AT1G08580",8
"AT2G34890",23
"AT3G52150",7
"AT1G23980",34
"AT1G06230",3
"AT3G28930",28
"AT3G58490",119
"AT2G24540",24
"AT1G78630",4
"AT2G44500",12
"AT5G48030",2
"AT2G34585",66
"AT3G61820",398
"AT1G03680",397
"AT2G34810",22
"AT2G38870",27
"AT3G07750",396
"AT5G16710",7
"AT5G63710",215
"AT1G30620",11
"AT3G23070",9
"AT3G10040",6
"AT2G33710",11
"AT1G75630",13
"AT5G07720",21
"AT3G30340",42
"AT5G27850",8
"AT4G25340",2
"AT4G05450",8
"AT1G11960",32
"AT3G06650",16
"AT1G67810",28
"AT5G12030",69
"AT2G37410",293
"AT5G42080",168
"AT3G02360",15
"AT3G33000",43
"AT5G27770",8
"AT1G32920",59
"AT3G22370",11
"AT3G27560",15
"AT5G02610",8
"AT2G14660",76
"AT1G21500",4
"AT4G01985",21
"AT1G18060",4
"AT1G33960",20
"AT2G47790",55
"AT3G46110",748
"AT1G04020",17
"AT1G12900",4
"AT5G14320",7
"AT3G52930",167
"AT3G01460",10
"AT3G28510",20
"AT2G31680",302
"AT1G63720",11
"AT2G01250",8
"AT3G16080",8
"AT5G23060",4
"AT5G49720",54
"AT3G18250",47
"AT3G50930",12
"AT1G75940",37
"AT3G27260",3
"AT3G62400",1
"AT1G29700",14
"AT2G44450",702
"AT1G52400",22
"AT1G69170",34
"AT3G51510",4
"AT4G19140",55
"AT2G46400",12
"AT5G55220",9
"AT3G28210",11
"AT2G46650",28
"AT1G70700",665
"AT2G42990",113
"AT5G13120",87
"AT4G36530",4
"AT5G49460",16
"AT1G70520",15
"AT5G03020",640
"AT1G11475",1
"AT1G04270",8
"AT3G09500",8
"AT2G21330",4
"AT5G06370",107
"AT1G55450",6
"AT5G60400",13
"AT1G74970",4
"AT5G08020",17
"AT2G34040",10
"AT5G50000",46
"AT3G56910",4
"AT3G01770",260
"AT4G25740",8
"AT1G22280",12
"AT4G08950",6
"AT4G22730",102
"AT1G79850",4
"AT5G20250",23
"AT4G30200",75
"AT1G27400",8
"AT5G04550",5
"AT5G04040",23
"AT5G06290",4
"AT4G13170",8
"AT5G13080",46
"AT1G16720",4
"AT2G46680",22
"AT3G07460",172
"AT2G39730",4
"AT5G22450",6
"AT5G52960",551
"AT3G22104",3
"AT5G14280",213
"AT1G74960",5
"AT3G16990",1
"AT1G18780",37
"AT2G19730",8
"AT3G46780",4
"AT5G56190",3
"AT3G18890",7
"AT1G60850",8
"AT4G29480",1
"AT5G01540",12
"AT2G31955",28
"AT5G15802",13
"AT1G58190",268
"AT1G18300",6
"AT3G01500",7
"AT5G58530",21
"AT5G64350",8
"AT1G15690",3
"AT3G32240",21
"AT2G33830",23
"AT2G27110",491
"AT4G36690",74
"AT3G12540",108
"AT1G22850",14
"AT1G32470",14
"AT2G14510",231
"AT1G80070",2
"AT2G17230",169
"AT1G56140",12
"AT4G08500",232
"AT5G08180",8
"AT1G19180",6
"AT4G23330",102
"AT5G54940",486
"AT2G28860",484
"AT3G03776",21
"AT3G44890",4
"AT1G06980",11
"AT2G40220",21
"AT5G61412",101
"AT4G26670",9
"AT5G42380",6
"AT3G02730",4
"AT1G05720",1
"AT1G13060",9
"AT3G07810",5
"AT3G57560",5
"AT5G24590",476
"AT4G00370",4
"AT1G16040",1
"AT3G17930",135
"AT1G73940",1
"AT5G24530",20
"AT1G12800",9
"AT1G79450",22
"AT3G62240",3
"AT5G42760",24
"AT2G15490",11
"AT2G30600",23
"AT3G05590",8
"AT3G49670",46
"AT2G26250",3
"AT3G44300",18
"AT3G02380",24
"AT3G47833",1
"AT1G74710",20
"AT4G04700",471
"AT2G40140",12
"AT2G46430",27
"AT1G51980",3
"AT2G40360",2
"AT1G80350",252
"AT1G14540",11
"AT3G53830",17
"AT3G47980",102
"AT3G62030",7
"AT4G05520",17
"AT1G17147",11
"AT2G26280",466
"AT5G38310",11
"AT5G42480",9
"AT3G05560",8
"AT5G55070",35
"AT4G29230",21
"AT5G43090",31
"AT5G15140",113
"AT5G14580",2
"AT1G65820",18
"AT5G60920",19
"AT5G51070",91
"AT1G04990",3
"AT1G20020",19
"AT5G51960",458
"AT4G30220",8
"AT5G27820",8
"AT4G27280",34
"AT1G03370",12
"AT4G29060",456
"AT5G09660",4
"AT2G03740",37
"AT1G43790",50
"AT5G46180",18
"AT4G38550",12
"AT5G44450",21
"AT5G22440",8
"AT2G27040",52
"AT1G70070",451
"AT1G32340",34
"AT3G02880",15
"AT1G20870",131
"AT5G20160",1
"AT3G57890",5
"AT4G29020",239
"AT5G11670",28
"AT4G15000",8
"AT4G26500",449
"AT1G66880",12
"AT5G60170",3
"AT4G00895",7
"AT1G79830",3
"AT3G50590",10
"AT1G07040",59
"AT2G26910",52
"AT5G56850",9
"AT5G67540",33
"AT1G07260",243
"AT3G47790",102
"AT5G07690",31
"AT1G79560",9
"AT1G26110",3
"AT2G33180",4
"AT1G36250",34
"AT4G13850",21
"AT1G05850",19
"AT4G25730",2
"AT3G48140",1
"AT5G44800",30
"AT2G39500",1
"AT3G01670",140
"AT2G45960",428
"AT5G40250",60
"AT3G45980",17
"AT4G09630",5
"AT3G10860",1
"AT2G46670",24
"AT5G35210",10
"AT1G03740",15
"AT5G03830",68
"AT3G22890",28
"AT1G03630",7
"AT2G34860",7
"AT1G15260",109
"AT2G23810",12
"AT3G56940",4
"AT1G22780",8
"AT1G65800",97
"AT3G15190",4
"AT3G46640",117
"AT2G45640",1
"AT3G48420",7
"AT1G48460",155
"AT3G18200",416
"AT4G23515",102
"AT3G60280",101
"AT3G04140",24
"AT2G19850",12
"AT3G57330",12
"AT1G12270",2
"AT2G14247",42
"AT4G39860",222
"AT3G54020",32
"AT1G62560",31
"AT3G44590",8
"AT3G02310",37
"AT4G36810",206
"AT2G31660",18
"AT2G33450",4
"AT3G14590",61
"AT3G20510",27
"AT2G47610",8
"AT4G39200",8
