gene1,gene2,value,rank
AT2G44370,AT2G17740,0.4661484888755789,8
AT2G05920,AT5G67360,0.26963617260075545,8
AT3G29034,AT1G51890,0.4052148816069171,8
AT2G39200,AT1G51620,0.4923456666784538,8
AT5G59130,AT2G39850,0.13559576331385248,8
AT5G53110,AT1G65690,0.36258473811421466,8
AT2G30490,AT4G23210,0.31515746028803626,8
AT4G34980,AT3G49780,0.2869827508985279,8
AT5G13930,AT2G15620,0.1796439653965618,8
AT5G13930,AT5G51750,0.17056854017476208,8
AT5G20480,AT5G59810,0.09723033712589092,8
AT3G52450,AT2G44490,0.3979186981762704,8
AT2G22122,AT4G21870,0.1303039844829439,8
AT1G30600,AT4G00230,0.11239986876548702,8
AT1G51800,AT1G30720,0.34219466534471105,8
AT1G52200,AT1G51620,0.4790516969453431,8
AT5G53110,AT1G49000,0.3229951681238712,8
AT5G44585,AT2G44380,0.3406461462185759,8
AT1G21670,AT2G25470,0.16883368172249935,8
AT1G04110,AT5G59100,0.08380322717185984,8
AT3G19010,AT2G44490,0.322827687252764,8
AT1G72300,AT1G37130,0.12727238446401026,8
AT3G50480,AT3G25882,0.26347803921226776,8
AT1G61380,AT5G40780,0.319866672502231,8
AT4G20000,AT1G49000,0.3939267493347738,8
AT4G21323,AT1G66220,0.08505955450319913,8
AT5G51750,AT5G67360,0.2376073140116361,8
AT2G02220,AT2G36690,0.4571386080731541,8
AT2G25000,AT2G15620,0.19630559389758664,8
AT4G20000,AT2G36690,0.4397073103274942,8
AT3G48650,AT4G24160,0.2544408153598827,8
AT4G20860,AT1G30720,0.36518737055041295,8
AT3G48650,AT3G50470,0.2799712223607653,8
AT4G20860,AT1G61360,0.4040433273367787,8
AT5G01540,AT3G22060,0.3626607065527885,9
AT4G20860,AT1G51890,0.3951050038039181,9
AT2G44370,AT2G02220,0.4615152025509275,9
AT5G50200,AT2G17740,0.3620971635948265,9
AT1G52200,AT2G02220,0.4314223504516523,9
AT2G30490,AT1G65690,0.34543827869347576,9
AT1G51800,AT5G39580,0.35953521511641306,9
AT1G30720,AT5G48430,0.33390969038004537,9
AT2G39200,AT3G46280,0.476630197480574,9
AT3G52450,AT1G51620,0.4073555440161385,9
AT5G45650,AT5G19660,0.11219071697453332,9
AT1G35160,AT2G31400,0.12156410848835165,9
AT1G30600,AT5G59100,0.10773974592954992,9
AT5G01540,AT1G61360,0.4032024069245213,9
AT4G21870,AT4G27730,0.12988669219750434,9
AT3G46280,AT5G48430,0.3111907307460373,9
AT2G01950,AT1G66220,0.08359705308916565,9
AT4G01250,AT4G24160,0.3641140871112465,9
AT5G44530,AT2G39850,0.13393842691662572,9
AT5G10450,AT2G41220,0.10713991217943276,9
AT1G08090,AT3G14067,0.1056623738567526,9
AT4G35180,AT2G37710,0.3560699905306461,10
AT3G50470,AT3G50480,0.2708600546591866,10
AT4G20000,AT1G61360,0.4010986097494451,10
AT3G26210,AT3G21080,0.2747382953650255,10
AT1G15950,AT5G54160,0.17544067994992618,10
AT3G19010,AT2G42360,0.320984790529923,10
AT1G30720,AT2G36690,0.3902500008698959,10
AT2G30490,AT3G22060,0.32020133268659223,10
AT3G52450,AT1G30730,0.3692162530529599,10
AT1G30730,AT2G44380,0.33851076222129306,10
AT5G44530,AT5G53460,0.12939531430031634,10
AT4G28140,AT3G19450,0.09905549331393716,10
AT3G45060,AT2G38900,0.12736315955255018,10
AT4G20860,AT5G39580,0.3546493531598891,10
AT1G51890,AT2G42360,0.3929294931659659,10
AT4G20000,AT3G26210,0.35872685277434324,10
AT5G59190,AT5G67090,0.10224134614397484,10
AT1G19380,AT3G59880,0.2649455182934928,10
AT1G51620,AT1G19380,0.40048445604193694,10
AT3G49780,AT2G42360,0.3100665019589022,10
AT5G53460,AT2G37040,0.19818437575690412,10
AT3G46280,AT2G17740,0.35697136295361354,10
AT5G53110,AT3G26210,0.2984282718919677,10
AT5G66420,AT1G30720,0.32520282146668394,10
AT3G46280,AT1G52200,0.4232343303324866,10
AT5G66420,AT5G48430,0.28254016555526484,10
AT2G39200,AT5G44585,0.4670113287472204,10
AT1G51890,AT2G02220,0.43125539967727344,10
AT2G44370,AT5G67450,0.4459973230503784,10
AT2G39530,AT3G21080,0.2895454977971641,10
AT1G08090,AT1G32950,0.11048687770966548,10
AT5G50200,AT5G37600,0.2785249684969617,10
AT4G34980,AT5G67360,0.2395399692512661,10
AT5G59090,AT2G31400,0.08986098481667848,10
AT5G45650,AT5G45640,0.108809738015456,10
AT5G67450,AT2G44380,0.3211214301507324,11
AT5G01540,AT2G02220,0.4251493826742889,11
AT4G20000,AT1G52200,0.4175287243034693,11
AT4G01250,AT1G61360,0.3981882337514058,11
AT5G04140,AT5G44530,0.15917282778558928,11
AT3G26210,AT3G50470,0.26832906325088235,11
AT4G39400,AT1G62340,0.07242232277313576,11
AT5G01540,AT3G25882,0.35322161851187284,11
AT3G29034,AT5G44585,0.3269372740836716,11
AT4G20860,AT4G01250,0.3501529930216494,11
AT5G04140,AT2G15620,0.16815711942830402,11
AT4G35180,AT3G29034,0.3372924755801314,11
AT2G04160,AT2G30360,0.13794198184948225,11
AT4G01250,AT2G39200,0.4666450833821012,11
AT1G15950,AT1G20160,0.09614738893432873,11
AT5G07440,AT5G54160,0.19031299462450013,11
AT5G50200,AT2G30490,0.2773235111378296,11
AT5G58820,AT5G19660,0.1029808796606262,11
AT2G22122,AT5G67360,0.1961879191372402,11
AT1G72300,AT1G20160,0.06946770881477082,11
AT1G51800,AT3G46280,0.3025034797053319,11
AT1G15950,AT2G37040,0.19734516490983325,11
AT5G53110,AT1G51890,0.3910492178154579,11
AT1G30600,AT5G67090,0.10143978762938444,11
AT3G19010,AT1G65690,0.33278237486231443,11
AT4G34980,AT3G25882,0.25433079846309736,11
AT3G19010,AT1G30720,0.3222192195423721,11
AT5G66420,AT3G19930,0.21232760740175505,11
