gene1,gene2,value
AT4G20000,AT1G49000,0.04563869080877502
AT1G19380,AT1G65490,0.04544670734293611
AT1G51680,AT1G15950,0.045379812810495294
AT2G02220,AT1G61360,0.04537760552064658
AT1G65690,AT3G14240,0.0451961260199668
AT4G31550,AT5G39580,0.04515794657200441
AT4G01250,AT2G36690,0.044985357520351515
AT1G65690,AT3G29034,0.04496740135229236
AT1G70530,AT1G64280,0.044929146707216684
AT1G64170,AT4G27730,0.04481132626332207
AT3G25882,AT3G50470,0.044802653706186905
AT5G54160,AT1G15950,0.04473450082459377
AT1G49000,AT5G53110,0.04470079708891929
AT2G25000,AT4G27730,0.04439489198644902
AT1G12940,AT2G25000,0.04437588240776167
AT4G08850,AT3G19930,0.04431380116503345
AT2G02220,AT2G44370,0.04427205764039618
AT3G49780,AT2G05920,0.043971248263222525
AT5G39580,AT5G66420,0.0437742358797692
AT1G52200,AT2G17740,0.04350450642470377
AT1G30720,AT3G19930,0.04325910514930631
AT1G51800,AT2G19190,0.04316976595948375
AT4G38560,AT2G37710,0.043156928161334436
AT1G61360,AT3G48650,0.04315134166933152
AT2G05920,AT5G67360,0.043125410394114085
AT1G51800,AT5G66420,0.04305779842992991
AT4G31550,AT3G52450,0.043033339662129334
AT1G52200,AT1G51890,0.042980219623799804
AT1G30720,AT5G66420,0.04294611745338652
AT1G61360,AT4G01250,0.042870438939684063
AT4G20000,AT2G44370,0.04268649463942897
AT5G40780,AT5G50200,0.04265592319971839
AT1G51680,AT3G19930,0.042528431149190866
AT2G15620,AT5G53460,0.04249040181652008
AT1G51620,AT4G21410,0.04248087561403008
AT5G50200,AT5G40780,0.04243341993733829
AT1G52200,AT4G20860,0.042410953094098376
AT1G61360,AT4G21410,0.04219813373747716
AT2G44490,AT3G48650,0.04214979258713904
AT5G40780,AT3G26210,0.042136597219130316
AT5G01540,AT3G52450,0.04195171555787516
AT4G21326,AT1G08090,0.04186384257689524
AT2G17740,AT3G22060,0.04184209597806485
AT3G21080,AT3G50480,0.041735711229549034
AT1G65690,AT3G49780,0.04169475725373442
AT1G30730,AT1G30720,0.0414759657295332
AT1G65690,AT2G05920,0.0414147055954453
AT4G38560,AT4G08850,0.041385147635862166
AT2G02220,AT4G20000,0.04137948846006053
AT1G51620,AT5G01540,0.041339673591686665
AT3G29034,AT5G50200,0.04133751577608633
AT1G64280,AT4G38560,0.041293720687328665
AT4G28140,AT3G45060,0.04129359068298808
AT3G22060,AT4G20860,0.041232833502364966
AT3G52450,AT4G21410,0.041131521899487884
AT5G04140,AT5G44530,0.04089787512517791
AT4G20860,AT2G39530,0.04078314316166096
AT2G42360,AT4G20860,0.040704067056614834
AT4G20860,AT2G30490,0.04063306925887713
AT3G29034,AT2G05920,0.040498127039341185
AT3G29034,AT1G71950,0.04049044949920098
AT1G64280,AT1G70530,0.04042625687883015
AT4G27730,AT2G25000,0.04036917415446824
AT4G20860,AT1G52200,0.04016631340356672
AT4G08850,AT3G19010,0.04007949226504898
AT3G21080,AT2G39850,0.0400725602746193
AT3G14240,AT3G49780,0.0400122599904448
AT2G05920,AT3G49780,0.04000770609969818
AT2G37710,AT1G02450,0.03989935056352128
AT3G26210,AT1G64170,0.039852937074744084
AT1G51620,AT2G44370,0.03978284642945718
AT2G17740,AT5G48430,0.03966221117895018
AT3G50470,AT3G25882,0.0396326546456918
AT3G52450,AT5G01540,0.03961117875938452
AT1G49000,AT4G01700,0.039578788111364914
AT4G20000,AT1G30730,0.039544904803031036
AT3G46280,AT5G66420,0.039399667211647976
AT4G08850,AT5G20480,0.03930559917362151
AT1G52200,AT5G48430,0.03930005488305055
AT4G34980,AT5G67360,0.039260039807517084
AT5G39580,AT5G07440,0.03922612910447941
AT1G05300,AT2G25470,0.03916949966957985
AT5G01540,AT1G61360,0.039045003616855985
AT4G33430,AT4G39400,0.03894497269477033
AT3G21080,AT2G25000,0.03889415868161936
AT1G52200,AT3G46280,0.03887365661167487
AT4G31800,AT1G66210,0.03887210651937936
AT1G61360,AT5G67090,0.03885317649810675
AT3G46280,AT2G17740,0.03880795937269725
AT4G31800,AT3G50470,0.03878942851956817
AT4G20860,AT2G17740,0.038765501997126486
AT4G31550,AT3G19010,0.03874889550912442
AT5G07440,AT5G20250,0.03870541316032189
AT3G52450,AT1G51620,0.03860080250852317
AT5G40780,AT3G50480,0.03852126791326324
AT1G65690,AT4G34980,0.038507127482371714
AT1G51800,AT1G30720,0.03836580786960776
AT3G52450,AT4G31550,0.03834457975349554
