gene1,gene2,value
AT1G30730,AT4G20000,0.3581358754960442
AT2G39530,AT3G46280,0.35799485392398744
AT3G46280,AT2G39530,0.35799485392398744
AT3G22060,AT2G36690,0.35743446238029297
AT4G23210,AT4G20000,0.3570338763675105
AT2G17740,AT3G46280,0.35697136295361354
AT3G46280,AT2G17740,0.35697136295361354
AT4G35180,AT2G37710,0.3560699905306461
AT2G37710,AT4G35180,0.3560699905306461
AT3G21080,AT1G51890,0.35508287270777883
AT4G20860,AT5G39580,0.3546493531598891
AT5G39580,AT4G20860,0.3546493531598891
AT5G67450,AT1G49000,0.3543792352605661
AT1G49000,AT5G67450,0.3543792352605661
AT3G25882,AT5G01540,0.35322161851187284
AT5G48430,AT1G51800,0.3529743527400855
AT1G51800,AT5G48430,0.3529743527400855
AT2G05920,AT3G29034,0.3529626688107206
AT3G29034,AT2G05920,0.3529626688107206
AT3G19930,AT1G30720,0.3521203207434869
AT1G30720,AT3G19930,0.3521203207434869
AT5G44585,AT5G67450,0.35145136463036697
AT5G67450,AT5G44585,0.35145136463036697
AT4G38560,AT4G08850,0.35107736943375545
AT4G08850,AT4G38560,0.35107736943375545
AT4G20860,AT4G01250,0.3501529930216494
AT5G53110,AT1G52200,0.3494333099655769
AT1G51800,AT4G08850,0.34866967387107506
AT4G08850,AT1G51800,0.34866967387107506
AT1G49000,AT2G39200,0.3481920648802665
AT1G61380,AT2G39200,0.3481182400322065
AT1G64170,AT2G25000,0.3475673204834162
AT2G25000,AT1G64170,0.3475673204834162
AT4G31550,AT2G44370,0.34694315957943056
AT1G64280,AT4G08850,0.3466747865255781
AT4G08850,AT1G64280,0.3466747865255781
AT3G29034,AT2G44370,0.34619726375898563
AT2G30490,AT1G65690,0.34543827869347576
AT1G65690,AT2G30490,0.34543827869347576
AT1G70530,AT2G37710,0.3451313998963184
AT2G37710,AT1G70530,0.3451313998963184
AT2G39530,AT1G51890,0.34474623175878416
AT5G53110,AT2G02220,0.3441875978782296
AT5G40780,AT1G05300,0.3440156148696507
AT1G05300,AT5G40780,0.3440156148696507
AT3G19010,AT5G01540,0.343998549887067
AT1G30730,AT1G51890,0.34292400642566223
AT3G46280,AT5G66420,0.3429080558569608
AT5G66420,AT3G46280,0.3429080558569608
AT1G51800,AT1G30720,0.34219466534471105
AT1G30720,AT1G51800,0.34219466534471105
AT1G61380,AT5G01540,0.3419308651788444
AT5G44585,AT2G44380,0.3406461462185759
AT2G44380,AT5G44585,0.3406461462185759
AT4G23210,AT1G51890,0.34013639189945805
AT5G44585,AT1G52200,0.3390876814929715
AT5G67360,AT3G14240,0.3388698997899251
AT3G14240,AT5G67360,0.3388698997899251
AT1G30730,AT2G44380,0.33851076222129306
AT2G44380,AT1G30730,0.33851076222129306
AT3G29034,AT4G35180,0.3372924755801314
AT1G30720,AT2G39200,0.33692058291526106
AT5G67450,AT2G39200,0.3358017195462357
AT3G19010,AT5G39580,0.3354478482192713
AT5G40780,AT1G52200,0.3352763728287038
AT2G30490,AT1G51890,0.3350506625685157
AT3G49780,AT1G52200,0.3346806706705434
AT1G64280,AT4G01250,0.3342296770523723
AT2G44380,AT2G02220,0.3340975063246265
AT1G30720,AT5G48430,0.33390969038004537
AT5G48430,AT1G30720,0.33390969038004537
AT1G65690,AT2G17740,0.3336251312413425
AT3G19010,AT1G65690,0.33278237486231443
AT5G44585,AT2G36690,0.3322719936055145
AT4G08850,AT4G31550,0.33207422609905296
AT4G31550,AT4G08850,0.33207422609905296
AT3G29034,AT2G17740,0.3320470737711638
AT3G26210,AT5G40780,0.33199039022590004
AT5G40780,AT3G26210,0.33199039022590004
AT4G31550,AT5G39580,0.3319893761445423
AT5G40780,AT5G50200,0.3309826129508213
AT5G50200,AT5G40780,0.3309826129508213
AT2G39530,AT4G20860,0.3307490413062948
AT1G19380,AT2G36690,0.33048284126869804
AT3G22060,AT2G17740,0.3302635101405902
AT2G44490,AT4G01250,0.33018009045469165
AT2G37710,AT5G01540,0.3289267013510864
AT5G67450,AT4G35180,0.3283126284726592
AT5G48430,AT2G17740,0.3259626461773897
AT3G46280,AT1G51890,0.3256295002405398
AT5G66420,AT1G30720,0.32520282146668394
AT1G30720,AT5G66420,0.32520282146668394
AT1G51800,AT2G02220,0.3250856720226369
AT1G61380,AT1G51620,0.3250280412910673
