Cause,Effect,Taux d'apparition,Correlation pearson pairwise,pvalue correl
AT1G37130,AT1G72300,0.328125,0.47072325563621464,1.3662300372774174e-11
AT2G44380,AT3G59880,0.328125,0.6052749945376378,7.127402721063138e-20
AT2G36690,AT4G01250,0.328125,0.8626156519296212,4.688527721583857e-56
AT4G27730,AT2G41220,0.328125,0.42343919952725184,1.909910314782185e-09
AT5G04140,AT5G44530,0.3125,0.5349834803935871,4.344655406120687e-15
AT5G04140,AT5G58840,0.3125,-0.33702859063200247,2.7188528099014253e-06
AT1G70530,AT1G64280,0.3125,0.7224909129168771,3.7791081933154384e-31
AT1G70530,AT2G02220,0.3125,0.8261471695546427,1.8160735869336813e-47
AT2G25000,AT2G37710,0.3125,0.5252283958387755,1.649332492773472e-14
AT4G20860,AT1G51800,0.3125,0.7569205194687927,1.2026134574177747e-35
AT1G72300,AT1G37130,0.3125,0.47072325563621464,1.3662300372774174e-11
AT3G52450,AT2G02220,0.3125,0.8289218692786989,4.7719728094075704e-48
AT3G29034,AT3G49780,0.3125,0.6937649285265725,6.926313505870491e-28
AT3G29034,AT1G71950,0.3125,0.5134289148887761,7.829300709853155e-14
AT2G05920,AT3G14240,0.3125,0.7186401063281821,1.0923234227017039e-30
AT1G51890,AT1G61380,0.3125,0.7107463170571472,9.112532661155067e-30
AT5G13930,AT5G10450,0.3125,-0.2702271065998839,0.00019920464019885896
AT5G07440,AT5G04140,0.3125,-0.6418183785784435,7.279791115464969e-23
AT5G67450,AT4G20000,0.3125,0.8097501054012197,3.0962340305487247e-44
AT2G02220,AT4G01250,0.3125,0.8286721364070496,5.387234395367952e-48
AT1G19380,AT1G51620,0.3125,0.7298250873277186,4.759770750084633e-32
AT2G42360,AT5G67360,0.3125,-0.49714740713289496,6.099386105235082e-13
AT3G19930,AT1G30720,0.3125,0.6887715425719904,2.3387084000511005e-27
AT3G19930,AT4G08850,0.3125,0.674130830061127,7.224235349466201e-26
AT1G51680,AT1G15950,0.3125,0.577375986096257,7.761879248599961e-18
AT3G50480,AT3G21080,0.3125,0.686672839539165,3.8718837075662096e-27
AT5G53110,AT1G49000,0.296875,0.7640073079001394,1.1491259247817531e-36
