gene1,gene2,value,rank
AT1G51800,AT5G48430,0.048806713533308316,5
AT2G17740,AT3G22060,0.04184209597806485,5
AT4G35180,AT4G31800,0.05285771718255113,5
AT1G61360,AT2G44490,0.055529304612997536,5
AT5G10450,AT2G22122,0.02284260035394724,5
AT2G25000,AT3G26210,0.027679339023649385,5
AT4G38560,AT4G31800,0.027436293079934008,5
AT1G61380,AT2G37710,0.023960662711397046,5
AT1G21670,AT5G59080,0.01800429645547033,5
AT5G46330,AT4G28140,0.03106649517389672,5
AT1G32970,AT4G00230,0.012545393775519643,5
AT4G21410,AT1G61360,0.01353702280760237,5
AT3G50480,AT3G50470,0.02011619754641441,5
AT5G11940,AT4G20850,0.017707194958966506,5
AT4G21326,AT2G38900,0.013859145125863592,5
AT3G14240,AT5G67360,0.03016222677329044,5
AT5G59130,AT2G04160,0.026505949904018826,5
AT3G19010,AT4G08850,0.036098036197315886,5
AT3G19010,AT4G31550,0.03419434611331687,5
AT3G29034,AT1G65690,0.03577978084131301,5
AT4G34980,AT2G05920,0.03406796560007179,5
AT3G21080,AT3G25882,0.021635324623152603,5
AT5G59810,AT3G14067,0.01101165619883127,5
AT1G20150,AT5G59080,0.01287530884217424,5
AT1G04110,AT1G62340,0.011933033985420354,5
AT3G45060,AT4G30190,0.020782213161191915,5
AT3G21080,AT2G39850,0.0400725602746193,5
AT4G33430,AT5G58820,0.015173540508586837,5
AT4G01700,AT1G51680,0.020082696193329527,5
AT1G19380,AT3G59880,0.04656207106418987,5
AT5G11940,AT1G66220,0.01344092381908008,5
AT5G59130,AT1G32950,0.01907216847089727,6
AT5G59190,AT5G58820,0.011660090873043876,6
AT1G15950,AT1G20160,0.023336327306496287,6
AT2G04160,AT2G30360,0.023843455306006216,6
AT2G44370,AT1G51620,0.058126278896425985,6
AT5G44585,AT2G44380,0.0250608068960432,6
AT1G64170,AT3G26210,0.02890019462589385,6
AT5G67450,AT1G49000,0.021091157517546213,6
AT4G39400,AT1G66220,0.010037123815759287,6
AT4G34980,AT2G39850,0.029427510861055644,6
AT5G01540,AT3G19010,0.036180061149416236,6
AT4G33430,AT5G59090,0.015211933573010091,6
AT5G07440,AT2G37040,0.02293406201462653,6
AT2G06050,AT5G67360,0.022590611117060497,6
AT4G28140,AT4G30190,0.017038155807979277,6
AT5G20480,AT4G08850,0.016517009984830532,6
AT1G30730,AT2G39200,0.029648034953377086,6
AT2G06050,AT2G38900,0.014548904494339522,6
AT4G01250,AT2G39200,0.04593052127006799,6
AT5G13930,AT5G20250,0.01452950194115635,6
AT4G23210,AT3G21080,0.03358706326776078,6
AT3G52450,AT4G21410,0.041131521899487884,6
AT5G53460,AT2G41220,0.02918675472074356,6
AT1G64280,AT2G44490,0.026546644146839042,6
AT5G59190,AT1G32970,0.010416100724646963,6
AT2G15620,AT5G40780,0.016549315341990285,6
AT1G37130,AT1G51680,0.018124616325340667,6
AT2G01950,AT1G01900,0.01588156391522214,6
AT2G01950,AT5G59810,0.010903416815955374,6
AT4G21326,AT1G37130,0.013079296267030296,6
AT4G20430,AT5G45650,0.011662870989916887,6
AT2G25000,AT3G19450,0.024640667414795283,6
AT3G26210,AT3G50470,0.03294874960606009,6
AT1G19380,AT4G31550,0.03026680279417992,6
AT5G46330,AT5G67090,0.035221205824445316,6
AT4G20860,AT1G52200,0.04016631340356672,6
AT3G50480,AT5G37600,0.025571063466182462,6
AT4G20860,AT2G30490,0.04063306925887713,6
AT4G21323,AT5G45640,0.009496273855919087,6
AT4G21870,AT5G20250,0.011614511733971622,6
AT4G21323,AT5G59810,0.008346550050121443,6
AT1G12940,AT4G27730,0.025017280567308186,6
AT5G04140,AT1G65490,0.02676395332645997,6
AT1G04110,AT1G20160,0.010802235126266293,6
AT1G02450,AT3G50470,0.015851102418949655,6
AT1G61360,AT5G67090,0.03885317649810675,6
AT3G49780,AT3G29034,0.034781102597777155,6
AT4G00230,AT3G19450,0.014036265565701402,6
AT3G46280,AT5G66420,0.039399667211647976,6
AT1G04110,AT1G08090,0.014997513310706078,6
AT4G21323,AT4G20850,0.009995500337350796,6
AT5G11940,AT5G59090,0.02738174656914756,7
AT4G21326,AT5G59090,0.012531990084324464,7
AT2G22122,AT2G37040,0.010603501104425542,7
AT2G22122,AT3G45060,0.014079241429430763,7
AT3G49780,AT5G67360,0.033707934535398235,7
AT4G21870,AT5G19660,0.012259980858129965,7
AT1G30730,AT2G36690,0.02609465130651236,7
AT2G25470,AT2G44380,0.018137274738421368,7
AT1G64280,AT4G31800,0.025761364220307267,7
AT5G20480,AT4G39400,0.014207190633040975,7
AT5G11940,AT5G59810,0.012630400891392356,7
AT2G38900,AT5G67090,0.021654662195144583,7
AT5G03620,AT4G21323,0.009577975992998821,7
AT5G06950,AT1G66220,0.010070641632371835,7
AT5G04140,AT2G39850,0.02303842475182313,7
AT2G17740,AT5G48430,0.03966221117895018,7
AT2G19170,AT5G45640,0.015796386094677622,7
AT2G19170,AT2G39850,0.017208779595524158,7
AT4G00230,AT1G35160,0.013813855397704215,7
AT2G05920,AT5G51750,0.02634866951260574,7
AT3G14240,AT1G65690,0.025267433294456274,7
AT5G39580,AT4G31550,0.03188451218293538,7
AT3G46280,AT2G39530,0.028195193598833605,7
AT2G42360,AT2G19190,0.02490427052067536,7
AT2G04160,AT5G45650,0.02115511556071641,7
AT4G35180,AT3G50470,0.0345646849843617,7
AT3G50480,AT3G25882,0.01867096599769924,7
AT5G10450,AT1G21670,0.011623366614406428,7
AT1G51890,AT5G40780,0.04993296600245844,7
AT1G51890,AT2G39530,0.03276917783710593,7
AT3G52450,AT5G01540,0.03961117875938452,7
AT5G51750,AT1G20160,0.022513165436523548,7
AT3G49780,AT1G71950,0.03262849951966343,7
AT5G55050,AT2G39530,0.015194594271824378,7
AT5G13930,AT3G19450,0.011925647015023673,7
AT1G19380,AT2G44490,0.026410840069399262,7
AT5G58820,AT1G01900,0.011130797594560244,7
AT1G14780,AT4G21410,0.013836881080174735,7
AT1G72300,AT1G15950,0.013774504987371159,7
AT4G20860,AT2G17740,0.038765501997126486,7
AT3G48650,AT4G31800,0.02367238137794498,7
AT5G66420,AT4G01700,0.02331892862453584,7
AT4G20000,AT5G44585,0.03385416290267658,7
AT4G01250,AT2G36690,0.044985357520351515,7
AT1G30720,AT4G08850,0.0377522489550987,7
AT4G20000,AT1G30730,0.039544904803031036,7
AT1G14780,AT2G30360,0.014947390063850331,7
AT2G39200,AT1G51620,0.05184215415761795,7
AT4G34980,AT2G30360,0.0293492811971081,7
AT5G07440,AT1G37130,0.02301985186910473,7
AT1G30730,AT2G44370,0.03367005246135489,8
AT5G59080,AT1G62340,0.013905506308097613,8
AT1G20150,AT1G62340,0.011831653795273228,8
AT3G48650,AT4G38560,0.020597243373001912,8
AT4G35180,AT1G02450,0.027683312184956205,8
AT4G21326,AT1G20150,0.014534724607733527,8
AT5G55050,AT1G05300,0.01514534738363021,8
AT4G15040,AT5G59100,0.009856605719784656,8
AT4G08850,AT1G51680,0.034146613832201925,8
AT1G19380,AT5G39580,0.024616779013503023,8
AT1G72300,AT5G20480,0.013043172976951777,8
AT4G21870,AT3G19450,0.010171475287595185,8
AT1G51800,AT1G52200,0.0349214798210697,8
AT1G15950,AT3G19930,0.02052285725802916,8
AT5G66420,AT2G37040,0.030848925537910656,8
AT1G64170,AT4G27730,0.04481132626332207,8
AT1G77380,AT2G39850,0.017620994810996982,8
AT3G46280,AT1G52200,0.02226673107995745,8
AT4G01250,AT4G24160,0.05900847707988838,8
AT4G08850,AT3G19930,0.04431380116503345,8
AT1G64170,AT2G44380,0.01776340465334422,8
AT5G59810,AT1G66220,0.009257774529940137,8
AT5G66420,AT5G48430,0.02259525085841104,8
AT4G21323,AT1G20160,0.012506579799733356,8
AT2G02220,AT1G61360,0.04537760552064658,8
AT3G45060,AT1G32950,0.022311087988835326,8
