gene1,gene2,value
AT1G61360,AT5G01540,0.8110960393803942
AT2G44370,AT1G51800,0.8102143358631501
AT1G51800,AT2G44370,0.8102143358631501
AT5G67450,AT4G20000,0.8097501054012197
AT4G20000,AT5G67450,0.8097501054012197
AT5G01540,AT3G48650,0.8095087801623809
AT3G48650,AT5G01540,0.8095087801623809
AT2G39200,AT5G01540,0.8087711439106277
AT5G01540,AT2G39200,0.8087711439106277
AT1G02450,AT3G25882,0.8084574727382792
AT3G25882,AT1G02450,0.8084574727382792
AT1G51800,AT2G02220,0.8072961461358287
AT5G01540,AT1G51620,0.8070637036101267
AT1G51620,AT5G01540,0.8070637036101267
AT3G22060,AT2G39200,0.8069855915690888
AT3G52450,AT2G39200,0.8068912964698032
AT2G36690,AT1G61360,0.8068627476717771
AT1G61360,AT2G36690,0.8068627476717771
AT2G37040,AT1G51680,0.8063368304251618
AT1G51680,AT2G37040,0.8063368304251618
AT4G20860,AT2G39200,0.8060096067528868
AT2G36690,AT3G52450,0.8058917888811398
AT3G52450,AT2G36690,0.8058917888811398
AT3G19010,AT5G01540,0.8055334478301652
AT5G01540,AT3G19010,0.8055334478301652
AT4G35180,AT5G01540,0.803177438384404
AT5G01540,AT4G35180,0.803177438384404
AT2G36690,AT5G01540,0.8023853163565928
AT5G01540,AT2G36690,0.8023853163565928
AT4G20860,AT2G42360,0.8023660069684863
AT2G42360,AT4G20860,0.8023660069684863
AT1G51620,AT3G22060,0.801538559904609
AT3G22060,AT1G51620,0.801538559904609
AT2G44370,AT1G49000,0.8014516418323907
AT1G49000,AT2G44370,0.8014516418323907
AT4G31550,AT4G01250,0.8003497594864675
AT4G01250,AT4G31550,0.8003497594864675
AT1G30720,AT5G39580,0.7982409333077566
AT5G39580,AT1G30720,0.7982409333077566
AT3G46280,AT2G44370,0.7981417199330515
AT5G39580,AT2G39200,0.7973749364615164
AT4G35180,AT3G25882,0.7961073644130489
AT3G25882,AT4G35180,0.7961073644130489
AT4G20000,AT1G49000,0.7960441624112059
AT1G49000,AT4G20000,0.7960441624112059
AT3G46280,AT2G39200,0.7950907623364746
AT1G51800,AT2G42360,0.7941161811818521
AT2G42360,AT1G51800,0.7941161811818521
AT3G29034,AT1G52200,0.7926127946187317
AT1G52200,AT3G29034,0.7926127946187317
AT1G51800,AT2G17740,0.7922376387845058
AT2G17740,AT1G51800,0.7922376387845058
AT1G51620,AT2G17740,0.7920395645313391
