"SUID","color","name","selected","shared name"
"3932","green","AT1G70600","false","AT1G70600"
"1423","green","AT4G15000","false","AT4G15000"
"1145","green","AT2G18820","false","AT2G18820"
"2896","green","AT5G60670","false","AT5G60670"
"1146","green","AT5G16130","false","AT5G16130"
"848","green","AT2G20430","false","AT2G20430"
"3118","green","AT1G15110","false","AT1G15110"
"2442","green","AT4G29430","false","AT4G29430"
"849","green","AT5G27700","false","AT5G27700"
"3526","green","AT3G27925","false","AT3G27925"
"1691","green","AT2G33800","false","AT2G33800"
"3733","green","AT4G21320","false","AT4G21320"
"1949","green","AT1G14510","false","AT1G14510"
"1950","green","AT5G61410","false","AT5G61410"
"2902","green","AT4G12600","false","AT4G12600"
"1437","green","AT2G38540","false","AT2G38540"
"1438","green","AT3G51190","false","AT3G51190"
"860","green","AT5G65495","false","AT5G65495"
"3738","green","AT1G80750","false","AT1G80750"
"861","green","AT3G49040","false","AT3G49040"
"3941","green","AT4G32880","false","AT4G32880"
"3942","green","AT4G29390","false","AT4G29390"
"1957","green","AT5G07970","false","AT5G07970"
"1958","green","AT4G38970","false","AT4G38970"
"545","green","AT4G04320","false","AT4G04320"
"1961","green","AT5G42980","false","AT5G42980"
"3537","green","AT2G32900","false","AT2G32900"
"3748","green","AT1G01090","false","AT1G01090"
"1709","green","AT5G27770","false","AT5G27770"
"1969","green","AT2G28900","false","AT2G28900"
"557","green","AT5G57740","false","AT5G57740"
"558","green","AT2G36620","false","AT2G36620"
"1452","green","AT5G67320","false","AT5G67320"
"1970","green","AT4G00100","false","AT4G00100"
"1453","green","AT2G26150","false","AT2G26150"
"2463","green","AT5G19220","false","AT5G19220"
"1173","green","AT2G01790","false","AT2G01790"
"1971","green","AT2G37600","false","AT2G37600"
"230","green","AT5G27420","false","AT5G27420"
"231","green","AT2G05380","false","AT2G05380"
"2467","green","AT5G13650","false","AT5G13650"
"3352","green","AT5G22440","false","AT5G22440"
"3139","green","AT2G47820","false","AT2G47820"
"3140","green","AT2G47570","false","AT2G47570"
"1461","green","AT3G51750","false","AT3G51750"
"2472","green","AT5G20160","false","AT5G20160"
"3354","green","AT4G05060","false","AT4G05060"
"3355","green","AT4G40080","false","AT4G40080"
"2698","green","AT3G62670","false","AT3G62670"
"2699","green","AT2G33180","false","AT2G33180"
"3147","green","AT3G11510","false","AT3G11510"
"2233","green","AT3G14230","false","AT3G14230"
"2234","green","AT3G53020","false","AT3G53020"
"1191","green","AT2G18150","false","AT2G18150"
"1727","green","AT1G63170","false","AT1G63170"
"3556","green","AT2G18400","false","AT2G18400"
"1985","green","AT4G39200","false","AT4G39200"
"3360","green","AT4G35510","false","AT4G35510"
"2936","green","AT5G23740","false","AT5G23740"
"1473","green","AT5G56520","false","AT5G56520"
"1474","green","AT1G14320","false","AT1G14320"
"585","green","AT2G20890","false","AT2G20890"
"3560","green","AT3G17040","false","AT3G17040"
"2939","green","AT1G03630","false","AT1G03630"
"2486","green","AT2G19730","false","AT2G19730"
"1478","green","AT3G04790","false","AT3G04790"
"1991","green","AT2G21385","false","AT2G21385"
"2713","green","AT4G04350","false","AT4G04350"
"1740","green","AT5G10500","false","AT5G10500"
"2718","green","AT2G01960","false","AT2G01960"
"1745","green","AT1G77940","false","AT1G77940"
"2722","green","AT2G21580","false","AT2G21580"
"924","green","AT5G61170","false","AT5G61170"
"2001","green","AT4G14770","false","AT4G14770"
"925","green","AT5G14970","false","AT5G14970"
"2002","green","AT5G02610","false","AT5G02610"
