Gene1,Gene2,Score
AT1G07270,AT1G27310,0.018255868058865667
AT4G26270,AT3G48990,0.018188562958539996
AT5G13720,AT2G14750,0.01803970108891674
AT5G22510,AT3G20460,0.018017333417043226
AT4G24080,AT3G49070,0.017999089844724786
AT3G59650,AT1G80920,0.017799270280294516
AT1G31460,AT1G54310,0.017545280371376742
AT1G73390,AT1G27300,0.01739566945613649
AT5G39350,AT2G05520,0.017344726331604554
AT4G12120,AT4G00530,0.017271783490132326
AT2G10260,AT4G04830,0.017065152937524964
AT3G19553,AT2G14760,0.016887951481701077
AT5G38220,AT1G54780,0.016834396006723356
AT2G05260,AT1G20470,0.016759423534605956
AT1G79040,AT5G66820,0.016655772521423005
AT5G06910,AT1G08880,0.01658659439738509
AT5G27420,AT2G05380,0.016529598784317617
AT1G65130,AT5G58650,0.01648760136366437
AT1G03990,AT1G16400,0.016483788435795968
AT3G15180,AT4G00525,0.016453690804653247
AT3G60170,AT1G54350,0.01643000311955031
AT1G12320,AT1G54340,0.016413152458380566
AT5G06470,AT2G21730,0.01640197803145752
AT5G49770,AT4G04810,0.016399189171575106
AT3G10340,AT5G24660,0.01632147436200265
AT1G74250,AT4G23400,0.016179570333741414
AT1G35910,AT5G58640,0.0161596987813665
AT5G23220,AT1G80200,0.016086000935104414
AT5G53020,AT5G64600,0.016076231107631886
AT1G23080,AT1G65420,0.01605570621397779
AT5G03430,AT2G34420,0.016006518497260862
AT3G58240,AT4G16150,0.015987462149220755
AT5G04690,AT2G34410,0.015949138729705478
AT5G05230,AT3G11560,0.01589211026270555
AT1G29080,AT3G53730,0.0158436393570881
AT5G13660,AT3G20470,0.015757566701217623
AT5G07270,AT2G21890,0.01564137258636858
AT1G47210,AT2G29450,0.015435378572812465
AT1G35110,AT3G32990,0.015222375924035888
AT3G18550,AT3G56970,0.015176857344804147
AT3G04130,AT3G11570,0.015161375779770416
AT4G32380,AT2G34390,0.015118746824878671
AT3G43175,AT2G36690,0.014999885340990407
AT1G24270,AT1G52400,0.01496305201686249
AT2G47380,AT5G44120,0.014914824810615224
AT2G16310,AT5G17220,0.01490702858765821
AT5G38490,AT1G76520,0.0149048691911761
AT5G15730,AT3G55230,0.014889325953682222
AT2G05752,AT1G61010,0.014889299314738895
AT5G38870,AT2G41240,0.014887738391921881
AT5G06380,AT1G64450,0.01488759111800625
AT5G28040,AT1G30870,0.014865670484300634
AT1G30515,AT1G54790,0.014814730255100779
AT4G19990,AT1G45035,0.014757088021091084
AT5G46050,AT1G52400,0.014702254459649225
AT3G44910,AT3G28550,0.01469823632009053
AT5G21120,AT5G01730,0.014685565524322956
AT1G52130,AT5G54930,0.014672218519091687
AT1G20790,AT5G54940,0.014626872055022628
AT2G14470,AT1G64470,0.014549619572025297
AT3G61610,AT1G73220,0.01453134579554649
AT1G03990,AT3G03190,0.014499194768530812
AT4G36770,AT5G05500,0.014459416294144448
AT3G02840,AT2G20120,0.014374556227853788
AT3G18550,AT3G56980,0.014368948387676897
AT5G47220,AT1G64370,0.014062499987131858
AT2G17430,AT5G42080,0.014035345256771407
AT2G42620,AT5G01200,0.014023992810237041
AT1G35110,AT2G05935,0.01400723202401871
AT5G15920,AT2G29870,0.013966430011249649
AT2G43920,AT4G01470,0.0139601412506048
AT4G32430,AT1G12520,0.013947276089574932
AT4G21790,AT4G05490,0.013942765029419504
AT2G30200,AT3G53830,0.013934822087005097
AT3G18215,AT2G41240,0.013873784375783555
AT4G32380,AT5G10040,0.013837047620469245
AT3G50170,AT1G01580,0.013725348802043725
AT3G27840,AT5G41300,0.013665340090931436
AT1G70300,AT3G27220,0.013663261096594558
AT3G46000,AT2G45550,0.013647317084343968
AT5G17330,AT5G13930,0.013645766878853775
AT3G03810,AT2G28740,0.01364142512141381
AT5G52150,AT1G73230,0.013638492220602254
AT2G16310,AT4G22880,0.013511438593954254
AT1G50950,AT1G06560,0.013499582833902969
AT2G01820,AT5G11830,0.013444693964100246
AT4G37280,AT1G07400,0.013392729364625496
AT2G21050,AT1G04980,0.013371141017592975
AT2G18600,AT4G23550,0.013369842066667453
AT1G61170,AT1G07270,0.01335167158473347
AT1G03990,AT3G54600,0.013324875098200465
AT5G12040,AT1G20620,0.013248934751891341
AT4G38600,AT4G17340,0.013202802421257308
AT5G57310,AT1G20480,0.013185864665747659
AT1G35110,AT2G07600,0.01314562089335954
AT1G03990,AT4G12030,0.013114491838586038
AT3G14820,AT3G62600,0.013085266000109166
AT2G11280,AT5G61790,0.01304373205972832
AT1G24460,AT5G01730,0.013042468005647848
AT3G03810,AT5G59690,0.013000410171718744
AT5G67320,AT1G59860,0.012996484761699817
AT3G19553,AT4G39940,0.012994491996460744
AT1G08010,AT3G62600,0.012990897148621337
AT3G23620,AT2G12420,0.012959923878705508
AT5G61920,AT3G58990,0.012937631362810302
AT1G65160,AT1G66390,0.01293222915151732
AT2G47380,AT1G48130,0.012914203351984153
AT1G55590,AT5G17220,0.012835494312744103
AT5G58660,AT3G54580,0.012832165754241204
AT3G15730,AT3G53830,0.012814425272535014
AT5G24920,AT1G54035,0.012790742588813377
AT1G78955,AT3G49000,0.01277723289392284
AT3G09500,AT1G76530,0.012758472489240497
AT4G03230,AT4G02270,0.01275509108957681
AT4G23150,AT4G01000,0.01274725905317912
AT3G17770,AT2G18150,0.012731015171286351
AT5G07400,AT2G35080,0.01271354338679352
AT4G34940,AT5G09530,0.012698002183272817
AT3G07770,AT2G33830,0.012696433889936761
AT5G61550,AT3G58550,0.01268653533192344
AT3G54880,AT5G05500,0.01266877231581738
AT1G65032,AT1G03880,0.012662658291085205
AT1G54550,AT4G36430,0.012654300093929295
AT3G59460,AT1G54050,0.012625299906132103
AT5G19430,AT2G29870,0.012586728657989257
AT5G60280,AT4G23690,0.012575170496103107
AT5G24318,AT1G79920,0.012551377728488433
AT5G61660,AT3G27220,0.012481500061040356
AT5G46050,AT1G52030,0.012481113039859841
AT3G09650,AT2G07600,0.01246105316772203
AT5G05010,AT2G18370,0.012443948974081192
AT5G65690,AT3G06455,0.012392576052644221
AT5G53520,AT3G33000,0.012364413205474165
AT3G57310,AT4G05310,0.01235407569720435
AT5G38870,AT3G56980,0.012344683615125638
AT1G55590,AT5G42800,0.012338046808106587
AT1G07650,AT2G44220,0.012332866476889769
AT2G19900,AT1G07260,0.012328284410247805
AT5G04270,AT1G45030,0.012307205872785791
AT2G07630,AT2G46790,0.012304988402340976
AT3G18215,AT3G56970,0.012304471228108235
AT1G08010,AT2G25110,0.012300478256582772
AT5G55650,AT2G31725,0.01228525134280126
AT2G11280,AT3G62600,0.012264183124906467
AT4G00340,AT2G31660,0.012258234435496765
AT2G18850,AT3G48920,0.012248148212678393
